customer_id,signup_date,gender,age,region,plan,tenure_days,is_active,last_activity_date,churned
C000001,2023-10-27,Female,24,East,Standard,643,1,2025-06-18,0
C000002,2024-01-01,Male,27,North,Basic,577,1,2025-07-07,0
C000003,2024-02-25,Female,30,West,Standard,522,1,2025-05-26,0
C000004,2023-05-11,Male,32,West,Basic,812,0,2025-04-21,1
C000005,2024-09-13,Female,25,North,Basic,321,1,2025-05-12,0
C000006,2024-03-30,Female,39,North,Standard,488,0,2025-02-15,1
C000007,2024-03-15,Male,24,South,Premium,503,1,2025-06-13,0
C000008,2025-03-18,Male,18,West,Basic,135,1,2025-06-27,0
C000009,2024-11-16,Male,56,South,Standard,257,1,2025-06-09,0
C000010,2024-10-06,Female,38,South,Standard,298,1,2025-07-22,0
C000011,2023-11-16,Male,57,East,Basic,623,1,2025-07-13,0
C000012,2025-01-06,Male,26,North,Basic,206,1,2025-06-27,0
C000013,2024-06-05,Male,41,South,Standard,421,1,2025-07-08,0
C000014,2023-08-09,Male,45,South,Basic,722,0,2025-01-04,1
C000015,2024-10-25,Female,35,East,Premium,279,1,2025-07-25,0
C000016,2025-03-10,Male,22,North,Standard,143,1,2025-07-16,0
C000017,2024-04-05,Female,34,East,Premium,482,1,2025-07-23,0
C000018,2024-12-26,Male,43,West,Basic,217,0,2025-03-12,1
C000019,2024-03-05,Male,42,South,Premium,513,1,2025-07-07,0
C000020,2024-12-04,Female,36,East,Basic,239,0,2025-03-03,1
C000021,2023-08-03,Unknown,45,North,Standard,728,1,2025-06-29,0
C000022,2023-11-22,Female,45,South,Basic,617,1,2025-07-26,0
C000023,2023-08-19,Male,31,North,Standard,712,1,2025-06-17,0
C000024,2024-05-10,Male,21,East,Basic,447,1,2025-07-10,0
C000025,2024-02-15,Female,38,South,Basic,532,1,2025-07-11,0
C000026,2023-11-02,Male,29,South,Standard,637,1,2025-07-01,0
C000027,2024-11-07,Male,38,North,Standard,266,1,2025-06-21,0
C000028,2023-05-10,Female,50,South,Standard,813,1,2025-07-10,0
C000029,2023-06-09,Female,41,South,Basic,783,1,2025-06-20,0
C000030,2024-08-23,Unknown,49,East,Basic,342,1,2025-06-14,0
C000031,2024-08-29,Female,26,North,Premium,336,1,2025-07-27,0
C000032,2025-01-01,Female,47,East,Standard,211,1,2025-05-28,0
C000033,2023-10-19,Male,53,South,Basic,651,0,2025-01-18,1
C000034,2023-03-21,Male,37,East,Standard,863,1,2025-07-23,0
C000035,2025-01-12,Female,60,West,Premium,200,1,2025-07-25,0
C000036,2023-11-20,Female,28,South,Premium,619,1,2025-07-10,0
C000037,2025-02-27,Male,30,North,Basic,154,0,2025-03-01,1
C000038,2025-01-22,Male,43,East,Premium,190,1,2025-07-04,0
C000039,2024-04-05,Male,37,West,Basic,482,1,2025-07-11,0
C000040,2024-09-22,Female,29,South,Standard,312,0,2024-11-05,1
C000041,2023-05-11,Male,43,West,Basic,812,1,2025-06-21,0
C000042,2024-03-03,Male,40,East,Standard,515,1,2025-07-23,0
C000043,2023-12-28,Female,31,South,Standard,581,1,2025-06-09,0
C000044,2023-03-08,Female,38,East,Basic,876,0,2024-02-07,1
C000045,2024-10-12,Male,44,South,Standard,292,1,2025-07-21,0
C000046,2023-12-29,Female,30,East,Standard,580,1,2025-06-23,0
C000047,2025-01-24,Female,42,South,Standard,188,1,2025-07-21,0
