transaction_id,customer_id,date,product_id,quantity,amount,channel
T0045371,C004735,2023-01-02,P000163,2,35.03,Store
T0038603,C004037,2023-01-03,P000054,4,547.12,App
T0020107,C002058,2023-01-04,P000158,3,58.44,Store
T0012208,C001259,2023-01-04,P000063,3,862.47,Online
T0029369,C003040,2023-01-05,P000073,3,138.95,Online
T0043953,C004581,2023-01-07,P000166,1,59.03,Online
T0020734,C002132,2023-01-08,P000182,3,733.91,Online
T0038604,C004037,2023-01-08,P000064,2,217.18,Online
T0044009,C004586,2023-01-10,P000023,2,27.08,Store
T0037287,C003898,2023-01-10,P000009,2,47.51,Online
T0021476,C002209,2023-01-11,P000011,3,104.96,Store
T0026341,C002740,2023-01-12,P000191,2,341.85,App
T0020733,C002132,2023-01-13,P000003,1,114.91,Store
T0036160,C003762,2023-01-14,P000190,1,158.69,Store
T0010518,C001087,2023-01-14,P000188,1,311.29,Online
T0038683,C004045,2023-01-15,P000031,1,45.88,Store
T0004047,C000412,2023-01-15,P000128,1,51.7,App
T0033448,C003469,2023-01-16,P000187,2,338.57,App
T0033366,C003459,2023-01-16,P000018,1,41.42,Online
T0023588,C002438,2023-01-17,P000002,3,141.99,Online
T0023587,C002438,2023-01-17,P000110,1,29.39,Store
T0012292,C001266,2023-01-18,P000090,1,41.21,App
T0044131,C004599,2023-01-19,P000079,1,126.43,Online
T0020735,C002132,2023-01-19,P000045,5,818.71,Online
T0044186,C004604,2023-01-20,P000109,3,984.33,Store
T0023589,C002438,2023-01-20,P000144,2,83.54,Store
T0034005,C003532,2023-01-21,P000052,3,139.27,Store
T0019658,C002012,2023-01-21,P000135,2,45.52,App
T0034595,C003597,2023-01-21,P000184,1,309.73,Store
T0015470,C001594,2023-01-21,P000018,2,98.45,Store
T0040374,C004207,2023-01-21,P000032,2,40.71,Online
T0004046,C000412,2023-01-22,P000024,2,545.42,Store
T0023428,C002427,2023-01-22,P000010,3,130.96,App
T0031766,C003292,2023-01-23,P000056,2,105.32,App
T0020131,C002063,2023-01-23,P000173,1,166.71,Store
T0029333,C003035,2023-01-23,P000149,3,146.21,Online
T0010057,C001024,2023-01-23,P000028,2,84.56,App
T0032160,C003327,2023-01-24,P000084,2,81.92,Online
T0032178,C003329,2023-01-24,P000096,1,67.67,Store
T0015492,C001596,2023-01-24,P000157,4,74.45,App
T0021477,C002209,2023-01-24,P000138,1,8.84,Online
T0034594,C003597,2023-01-25,P000008,2,106.35,Online
T0027899,C002905,2023-01-25,P000164,2,31.64,Online
T0031429,C003258,2023-01-25,P000153,5,595.04,Online
T0039611,C004134,2023-01-26,P000109,1,319.92,App
T0027898,C002905,2023-01-26,P000147,2,629.7,Online
T0022666,C002345,2023-01-26,P000038,2,122.1,Online
T0027137,C002821,2023-01-26,P000163,3,57.27,Online
T0012209,C001259,2023-01-27,P000091,4,404.35,Online
T0006308,C000641,2023-01-27,P000002,3,139.12,App
T0032159,C003327,2023-01-27,P000020,1,61.66,Online
T0047573,C004983,2023-01-28,P000009,2,44.5,Online
T0023946,C002480,2023-01-28,P000077,3,560.2,Online
T0010524,C001088,2023-01-28,P000111,2,159.52,Online
T0012291,C001266,2023-01-28,P000045,1,161.17,App
T0028209,C002927,2023-01-29,P000152,1,176.21,Store
T0028569,C002958,2023-01-29,P000102,1,18.82,App
T0039109,C004081,2023-01-29,P000200,2,85.06,Online
T0027675,C002886,2023-01-29,P000147,3,822.03,Store
T0040373,C004207,2023-01-29,P000016,1,292.13,Store
T0038295,C004005,2023-01-30,P000154,3,107.42,Online
T0032810,C003400,2023-01-30,P000108,3,45.23,Store
T0013868,C001429,2023-01-30,P000099,4,102.12,Online
T0026340,C002740,2023-01-31,P000125,3,730.67,Store
T0009421,C000952,2023-01-31,P000088,2,231.38,Online
T0023947,C002480,2023-01-31,P000089,1,204.44,Online
T0012340,C001271,2023-02-02,P000040,1,55.84,Online
T0039198,C004093,2023-02-02,P000088,2,215.88,Online
T0046036,C004801,2023-02-03,P000185,1,103.34,Online
T0022667,C002345,2023-02-03,P000070,1,43.84,App
T0022773,C002354,2023-02-04,P000046,2,608.65,Online
T0047574,C004983,2023-02-04,P000072,2,486.38,Online
T0047019,C004927,2023-02-04,P000189,3,169.98,Online
T0006908,C000701,2023-02-04,P000114,4,252.65,Online
T0013628,C001406,2023-02-04,P000057,1,67.23,Store
T0011005,C001139,2023-02-05,P000118,2,109.09,Store
T0014202,C001466,2023-02-06,P000068,3,177.86,Online
T0012338,C001271,2023-02-06,P000086,2,95.67,Online
T0031430,C003258,2023-02-06,P000050,1,55.41,Online
T0003351,C000345,2023-02-06,P000062,3,216.45,Online
T0038757,C004049,2023-02-06,P000118,1,53.96,Store
T0019161,C001959,2023-02-07,P000124,1,55.58,Store
T0011004,C001139,2023-02-07,P000151,2,168.1,Online
T0011265,C001159,2023-02-08,P000046,1,315.3,Online
T0005448,C000552,2023-02-08,P000040,3,164.89,Online
T0023429,C002427,2023-02-08,P000060,2,81.07,Store
T0027699,C002888,2023-02-08,P000077,3,582.07,Online
T0033282,C003445,2023-02-08,P000115,1,45.16,Online
T0036161,C003762,2023-02-08,P000168,2,73.45,App
T0017635,C001804,2023-02-09,P000166,3,189.44,Online
T0015493,C001596,2023-02-09,P000067,2,143.5,Online
T0043642,C004553,2023-02-09,P000061,1,172.84,Online
T0028747,C002976,2023-02-09,P000101,2,46.81,Online
T0003352,C000345,2023-02-10,P000183,2,622.86,Online
T0041117,C004280,2023-02-10,P000185,2,210.72,Online
T0018672,C001914,2023-02-10,P000080,4,174.93,Store
T0012339,C001271,2023-02-10,P000170,2,144.74,Store
T0045684,C004769,2023-02-11,P000056,1,54.6,Store
T0013435,C001388,2023-02-11,P000021,2,503.11,Online
T0044187,C004604,2023-02-11,P000037,3,42.27,Online
T0018866,C001931,2023-02-11,P000053,3,23.02,Online
T0019303,C001973,2023-02-12,P000046,2,529.84,Online
T0023261,C002408,2023-02-12,P000046,2,629.96,Online
T0029370,C003040,2023-02-12,P000134,3,98.75,Store
T0020937,C002155,2023-02-12,P000199,2,159.64,App
T0004321,C000438,2023-02-12,P000027,2,142.38,Online
T0026915,C002802,2023-02-13,P000057,1,63.07,Online
T0024979,C002588,2023-02-13,P000126,4,185.47,Store
T0025628,C002662,2023-02-14,P000112,3,585.04,Online
